Top 30 Clusters,,,
Rank,Samples,% of total,Total Points
1,8827,23.04579395,38302
2,1525,3.981515326,
3,1446,3.775259778,
4,1416,3.696934886,
5,1408,3.676048248,
6,1397,3.647329121,
7,1370,3.576836719,
8,1329,3.4697927,
9,1323,3.454127722,
10,1270,3.315753747,
11,1220,3.18521226,
12,1215,3.172158112,
13,1177,3.072946582,
14,1163,3.036394966,
15,1103,2.879745183,
16,1051,2.743982037,
17,1023,2.670878805,
18,1007,2.62910553,
19,980,2.558613127,
20,723,1.887629889,
21,677,1.767531722,
22,112,0.292412929,
23,111,0.289802099,
24,110,0.287191269,
25,98,0.255861313,
26,97,0.253250483,
27,94,0.245417994,
28,93,0.242807164,
29,88,0.229753016,
30,86,0.224531356,
